id,title,category,subcategory,description,short_description,tags,review_summary,review_keywords,rating_estimate,review_count_estimate,address,city,state,zip,latitude,longitude,website,phone,image,popularity_score,price_level,family_friendly,outdoor,seasonal_tags,hours
mi_001,Mioposto,Restaurants,Pizza,"Italian restaurant specializing in wood‑fired pizzas, fresh house‑made pasta, seasonal salads, and brunch dishes in a cozy, neighborhood‑friendly atmosphere.",Italian restaurant specializing in wood-fired pizzas,"food,dining,pizza,brunch,seasonal,italian,pasta",NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,Mercer Island,WA,98040,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,,,seasonal,NEEDS_RESEARCH
mi_002,The Roanoke Inn,Restaurants,Sandwiches,"Historic tavern serving classic American pub fare including burgers, sandwiches, and craft beers, with a large outdoor patio and casual vibe.",Historic tavern serving classic American pub fare including burgers,"food,dining,sandwiches,outdoor-patio,craft-beer,american,burgers",NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,Mercer Island,WA,98040,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,,true,,NEEDS_RESEARCH
mi_003,Sushi Joa,Restaurants,Sushi,"Japanese and Korean fusion restaurant offering sushi rolls, sashimi, bibimbap, and traditional noodle dishes in a modern, minimalist setting.",Japanese and Korean fusion restaurant offering sushi rolls,"food,dining,sushi,japanese,korean",NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,Mercer Island,WA,98040,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH
mi_004,Anise Thai Cuisine,Restaurants,Thai,"Authentic Thai restaurant featuring curries, stir‑fried noodles, fresh seafood, and vegetarian options, with a casual and welcoming dining environment.",Authentic Thai restaurant featuring curries,"food,dining,thai,vegetarian",NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,Mercer Island,WA,98040,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH
mi_005,Gourmet Teriyaki,Restaurants,Teriyaki,"Quick‑service Japanese restaurant serving teriyaki bowls, rice plates, and noodle dishes made with fresh ingredients for takeout or dine‑in.",Quick-service Japanese restaurant serving teriyaki bowls,"food,dining,teriyaki,takeout,japanese",NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,Mercer Island,WA,98040,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH
mi_006,Barrels Wine Bar,Restaurants,Wine Bar,"Wine bar and bistro offering an extensive wine list, craft cocktails, small plates, and charcuterie boards in a relaxed and intimate setting.",Wine bar and bistro offering an extensive wine list,"food,dining,wine-bar,wine,cocktails",NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,Mercer Island,WA,98040,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH
mi_007,Allister,Restaurants,Restaurant,"Contemporary restaurant offering brunch, craft cocktails, and American-inspired dishes made with seasonal ingredients, ideal for casual dining or special occasions.",Contemporary restaurant offering brunch,"food,dining,restaurant,brunch,seasonal,cocktails,american",NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,Mercer Island,WA,98040,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,,,seasonal,NEEDS_RESEARCH
mi_008,Crawlspace Gastropub,Restaurants,Gastropub,"Casual gastropub featuring elevated pub classics, local craft beers, and a rotating menu of seasonal small plates.",Casual gastropub featuring elevated pub classics,"food,dining,gastropub,seasonal,craft-beer",NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,Mercer Island,WA,98040,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,,,seasonal,NEEDS_RESEARCH
mi_009,Vivienne’s Bistro,Restaurants,Bistro,"Asian fusion-inspired bistro serving classic entrees and wines, emphasizing seasonal ingredients and a relaxed neighborhood feel.",Asian fusion-inspired bistro serving classic entrees and wines,"food,dining,bistro,seasonal,wine",NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,Mercer Island,WA,98040,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,,,seasonal,NEEDS_RESEARCH
mi_010,Sano Cafe,Restaurants,Sandwiches,"Café offering sandwiches, salads, breakfast items, and coffee drinks in a friendly and relaxed atmosphere.",Café offering sandwiches,"food,dining,sandwiches",NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,Mercer Island,WA,98040,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH
mi_011,Island Pho & Teriyaki,Restaurants,Teriyaki,"Quick-service restaurant combining Vietnamese pho bowls with Japanese teriyaki plates for fast, fresh meals.",Quick-service restaurant combining Vietnamese pho bowls with Japanese teriyaki plates for fast,"food,dining,teriyaki,japanese,vietnamese",NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,Mercer Island,WA,98040,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH
mi_012,Roberto’s Pizza,Restaurants,Pizza,"Neighborhood pizza restaurant offering classic and specialty pizzas, pasta dishes, and family-friendly dining.",Neighborhood pizza restaurant offering classic and specialty pizzas,"food,dining,pizza,family-friendly",NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,Mercer Island,WA,98040,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,true,,,NEEDS_RESEARCH
mi_013,Valhalla Sandwiches,Restaurants,Sandwiches,"Artisan sandwich shop serving hearty sandwiches, wraps, and salads made with high-quality meats and fresh bread.",Artisan sandwich shop serving hearty sandwiches,"food,dining,sandwiches",NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,Mercer Island,WA,98040,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH
mi_014,Just Poke,Restaurants,Poke,"Fast-casual poke restaurant specializing in customizable poke bowls with fresh fish, vegetables, and house sauces.",Fast-casual poke restaurant specializing in customizable poke bowls with fresh fish,"food,dining,poke",NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,Mercer Island,WA,98040,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH
