id,title,category,subcategory,description,short_description,tags,review_summary,review_keywords,rating_estimate,review_count_estimate,address,city,state,zip,latitude,longitude,website,phone,image,popularity_score,price_level,family_friendly,outdoor,seasonal_tags,SUNDAYhours,MONDAYhours,TUESDAYhours,WEDNESDAYhours,THURSDAYhours,FRIDAYhours,SATURDAYhours
mi_001,Mioposto,Restaurants,Pizza,"Italian restaurant specializing in wood‑fired pizzas, fresh house‑made pasta, seasonal salads, and brunch dishes in a cozy, neighborhood‑friendly atmosphere.",Italian restaurant specializing in wood-fired pizzas,"food,dining,pizza,brunch,seasonal,italian,pasta","High-end wood-fired pizza with a cozy, sophisticated atmosphere. Known for excellent service and consistency.","Wood-fired, cozy, upscale, pizza",4.6,1100,2601 76th Avenue Southeast,Mercer Island,Washington,98040,47.5869106,-122.2380441,https://www.miopostopizza.com/,(206) 232-1500,mioposto.jpg,,,,,seasonal,10:00am-9:00pm,11:30am-9:00pm,11:30am-9:00pm,11:30am-9:00pm,11:30am-9:00pm,11:30am-9:00pm,10:00am-9:00pm
mi_002,The Roanoke Inn,Restaurants,Sandwiches,"Historic tavern serving classic American pub fare including burgers, sandwiches, and craft beers, with a large outdoor patio and casual vibe.",Historic tavern serving classic American pub fare including burgers,"food,dining,sandwiches,outdoor-patio,craft-beer,american,burgers","A historic ""living room"" of the island. Beloved for its ""Wings of Fire,"" outdoor patio, and dive-bar charm.","Historic, wings, community, patio",4.4,1200,1825 72nd Ave Southeast,Mercer Island,Washington,98040,47.5939954,-122.2435641,http://www.roanokeinnmi.com/,(206) 232-0800,Roankoke.jpg,,,,true,,11:00am-10:00pm,3:00pm-10:00pm,11:00am-10:00pm,11:00am-12:00am,11:00am-12:00am,11:00am-12:00am,11:00am-12:00am
mi_003,Sushi Joa,Restaurants,Sushi,"Japanese and Korean fusion restaurant offering sushi rolls, sashimi, bibimbap, and traditional noodle dishes in a modern, minimalist setting.",Japanese and Korean fusion restaurant offering sushi rolls,"food,dining,sushi,japanese,korean","Praised for fresh salmon, generous bento boxes, and a welcoming family-owned feel.","Fresh, bento, authentic, sushi",4.4,400,2717 78th Avenue Southeast,Mercer Island,Washington,98040,47.5861481,-122.234064,sushijoa.com,(206) 535-6447,sushijoa.jpeg,,,,,,Closed,11:30am-8:30pm,11:30am-8:30pm,11:30am-8:30pm,11:30am-8:30pm,11:30am-9:00pm,11:30am-9:00pm
mi_004,Anise Thai Cuisine,Restaurants,Thai,"Authentic Thai restaurant featuring curries, stir‑fried noodles, fresh seafood, and vegetarian options, with a casual and welcoming dining environment.",Authentic Thai restaurant featuring curries,"food,dining,thai,vegetarian","A hidden gem for authentic regional dishes like Chiang Mai Noodles. Known for its quiet, serene vibe.","Authentic, serenity, Pad Thai, spicy",4.2,300,7691 Southeast 27th Street,Mercer Island,Washington,98040,47.586441,-122.2353367,anisethaicuisine.com,(206) 236-2255,anisethai.jpg,,,,,,12:00pm-9:00pm,11:00am-9:00pm,11:00am-9:00pm,11:00am-9:00pm,11:00am-9:00pm,11:00am-9:30pm,12:00pm-9:30pm
mi_005,Gourmet Teriyaki,Restaurants,Teriyaki,"Quick‑service Japanese restaurant serving teriyaki bowls, rice plates, and noodle dishes made with fresh ingredients for takeout or dine‑in.",Quick-service Japanese restaurant serving teriyaki bowls,"food,dining,teriyaki,takeout,japanese",Massive portions and fast service make this the island’s go-to for comfort food.,"Huge portions, fast, teriyaki, value",4.8,400,Southeast 27th Street,Mercer Island,Washington,98040,47.5864256,-122.2357946,https://ordergourmetteriyaki.com/,(206) 232-0580,gourmetteriyaki.jpg,,,,,,Closed,11:00am-7:00pm,11:00am-7:00pm,11:00am-7:00pm,11:00am-7:00pm,11:00am-7:00pm,11:00am-6:00pm
mi_006,Barrels Wine Bar,Restaurants,Wine Bar,"Wine bar and bistro offering an extensive wine list, craft cocktails, small plates, and charcuterie boards in a relaxed and intimate setting.",Wine bar and bistro offering an extensive wine list,"food,dining,wine-bar,wine,cocktails","Known for its incredible wine selection and warm, ""Cheers-like"" hospitality. Adult-only environment.","Wine flights, social, live music, cozy",4.8,200,7605 Southeast 27th Street,Mercer Island,Washington,98040,47.586572,-122.236897,https://barrelswinebar.com/,(206) 268-0588,barrels.jpg,,,,,,Closed,Closed,3:00pm-9:00pm,3:00pm-9:00pm,3:00pm-9:00pm,3:00pm-10:00pm,1:00pm-10:00pm
mi_007,Allister,Restaurants,Restaurant,"Contemporary restaurant offering brunch, craft cocktails, and American-inspired dishes made with seasonal ingredients, ideal for casual dining or special occasions.",Contemporary restaurant offering brunch,"food,dining,restaurant,brunch,seasonal,cocktails,american",Stylish decor and creative plating. A popular spot for celebratory dinners and high-end cocktails.,"Modern, cocktails, date night, halibut",4.3,100,Southeast 27th Street,Mercer Island,Washington,98040,47.5868713,-122.2360053,https://www.allister-mi.com/,(206) 552-0224,allister.jpg,,,,,seasonal,10:00am-9:00pm,11:30am-9:00pm,11:30am-9:00pm,11:30am-10:00pm,11:30am-10:00pm,11:30am-10:00pm,10:00am-10:00pm
mi_008,Crawlspace Gastropub,Restaurants,Gastropub,"Casual gastropub featuring elevated pub classics, local craft beers, and a rotating menu of seasonal small plates.",Casual gastropub featuring elevated pub classics,"food,dining,gastropub,seasonal,craft-beer","Fusion favorite with Hawaiian/Korean flair. Highly rated for its ""bulgogi burgers"" and friendly staff.","Fusion, sliders, craft drinks, fun",4.6,200,3041 78th Ave Southeast,Mercer Island,Washington,98040,47.5824022,-122.2346678,https://thecrawlspacegastropub.com/,(206) 257-1012,crawlspace.jpg,,,,,seasonal,11:00am-8:00pm,11:00am-9:00pm,11:00am-9:00pm,11:00am-9:00pm,11:00am-9:00pm,11:00am-9:00pm,11:00am-9:00pm
mi_009,Vivienne’s Bistro,Restaurants,Bistro,"Asian fusion-inspired bistro serving classic entrees and wines, emphasizing seasonal ingredients and a relaxed neighborhood feel.",Asian fusion-inspired bistro serving classic entrees and wines,"food,dining,bistro,seasonal,wine",Sophisticated European-inspired bistro. Excellent wine pairings and romantic ambiance.,"Elegant, wine, bistro, service",4.5,400,2441 76th Ave Southeast,Mercer Island,Washington,98040,47.5877167,-122.2381758,https://www.viviennesbistro.com/,(206) 466-6302,vivians.jpg,,,,,seasonal,5:00pm-9:00pm,Closed,11:30am-9:00pm,11:30am-9:00pm,11:30am-9:00pm,11:30am-9:30pm,12:00pm-9:30pm
mi_010,Sano Cafe,Restaurants,Sandwiches,"Café offering sandwiches, salads, breakfast items, and coffee drinks in a friendly and relaxed atmosphere.",Café offering sandwiches,"food,dining,sandwiches","The island’s healthy hub. Famous for acai bowls, energy balls, and gluten-free/vegan options.","Clean eating, acai, smoothies, fresh",4.6,200,7605 Southeast 27th Street,Mercer Island,Washington,98040,47.5865745,-122.2366848,https://www.sanocafe.com/,(206) 232-1533,sano.jpeg,,,,,,9:00am-3:00pm,8:00am-4:00pm,8:00am-4:00pm,8:00am-4:00pm,8:00am-4:00pm,8:00am-4:00pm,8:00am-3:00pm
